service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
APR20-dLINE1-Weekday-10,1,1,1,1,1,0,0,20200610,20200626
APR20-sLINE1-Saturday-10,0,0,0,0,0,1,0,20200613,20200627
APR20-uLINE1-Sunday-10,0,0,0,0,0,0,1,20200614,20200621
JUN20-SUNCFD-Sunday-01,0,0,0,0,0,0,1,20200628,20200823
JUN20-MThCFD-Weekday-01,1,1,1,1,1,0,0,20200629,20200827
JUN20-CanDay20-Weekday-01,1,1,1,1,1,0,0,20200701,20200701
JUN20-FRICFD-Weekday-01,1,1,1,1,1,0,0,20200703,20200828
JUN20-SATCFD-Saturday-01,0,0,0,0,0,1,0,20200704,20200829
JUN20-CivHol20-Weekday-01,1,1,1,1,1,0,0,20200803,20200803
APR20-dAPRSP20-Weekday-25,1,1,1,1,1,0,0,20200610,20200626
APR20-sAPRSP20-Saturday-10,0,0,0,0,0,1,0,20200613,20200627
APR20-uAPRSP20-Sunday-11,0,0,0,0,0,0,1,20200614,20200621
JUN20-JUNSU20-Sunday-01,0,0,0,0,0,0,1,20200628,20200823
JUN20-JUNDA20-Weekday-01,1,1,1,1,1,0,0,20200629,20200828
JUN20-JUNSA20-Saturday-01,0,0,0,0,0,1,0,20200704,20200829
JUN20-CIVIC20-Sunday-01,0,0,0,0,0,0,1,20200803,20200803
APR20-303Shop-Weekday-01,1,1,1,1,1,0,0,20200610,20200624
APR20-304Shop-Weekday-01,1,1,1,1,1,0,0,20200611,20200625
APR20-305Shop-Weekday-01,1,1,1,1,1,0,0,20200612,20200626
APR20-301Shop-Weekday-01,1,1,1,1,1,0,0,20200615,20200622
APR20-302Shop-Weekday-01,1,1,1,1,1,0,0,20200616,20200623
JUN20-301Shop-Weekday-01,1,1,1,1,1,0,0,20200629,20200824
JUN20-302Shop-Weekday-01,1,1,1,1,1,0,0,20200630,20200825
JUN20-303Shop-Weekday-01,1,1,1,1,1,0,0,20200701,20200826
JUN20-304Shop-Weekday-01,1,1,1,1,1,0,0,20200702,20200827
JUN20-305Shop-Weekday-01,1,1,1,1,1,0,0,20200703,20200828
APR20-Rte2Wk-Weekday-11,1,1,1,1,1,0,0,20200610,20200626
APR20-Rte2Sat-Saturday-11,0,0,0,0,0,1,0,20200613,20200627
APR20-Rte2Su-Sunday-11,0,0,0,0,0,0,1,20200614,20200621
