route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-303,1,,,2,,DA291C,FFFFFF
1-317,1,,,2,,DA291C,FFFFFF
2-313,2,,,3,,65A233,FFFFFF
2-317,2,,,2,,65A233,FFFFFF
5-313,5,,,3,,6E6E70,FFFFFF
5-317,5,,,3,,6E6E70,FFFFFF
6-313,6,,,3,,D74100,FFFFFF
6-317,6,,,3,,D74100,FFFFFF
7-313,7,,,3,,D74100,FFFFFF
7-317,7,,,3,,D74100,FFFFFF
9-313,9,,,3,,6E6E70,FFFFFF
9-317,9,,,3,,6E6E70,FFFFFF
10-313,10,,,3,,D74100,FFFFFF
10-317,10,,,3,,D74100,FFFFFF
11-313,11,,,3,,D74100,FFFFFF
11-317,11,,,3,,D74100,FFFFFF
12-313,12,,,3,,D74100,FFFFFF
12-317,12,,,3,,D74100,FFFFFF
14-313,14,,,3,,D74100,FFFFFF
14-317,14,,,3,,D74100,FFFFFF
15-317,15,,,3,,E6E6E6,58595B
16-313,16,,,3,,6E6E70,FFFFFF
16-317,16,,,3,,6E6E70,FFFFFF
17-317,17,,,3,,E6E6E6,58595B
18-313,18,,,3,,6E6E70,FFFFFF
18-317,18,,,3,,6E6E70,FFFFFF
19-313,19,,,3,,6E6E70,FFFFFF
19-317,19,,,3,,6E6E70,FFFFFF
20-313,20,,,3,,6E6E70,FFFFFF
20-317,20,,,3,,6E6E70,FFFFFF
21-313,21,,,3,,E6E6E6,58595B
21-317,21,,,3,,E6E6E6,58595B
23-317,23,,,3,,E6E6E6,58595B
24-313,24,,,3,,6E6E70,FFFFFF
24-317,24,,,3,,6E6E70,FFFFFF
25-313,25,,,3,,D74100,FFFFFF
25-317,25,,,3,,D74100,FFFFFF
26-313,26,,,3,,6E6E70,FFFFFF
26-317,26,,,3,,6E6E70,FFFFFF
27-317,27,,,3,,E6E6E6,58595B
28-313,28,,,3,,6E6E70,FFFFFF
28-317,28,,,3,,6E6E70,FFFFFF
30-313,30,,,3,,6E6E70,FFFFFF
30-317,30,,,3,,6E6E70,FFFFFF
31-317,31,,,3,,E6E6E6,58595B
32-313,32,,,3,,E6E6E6,58595B
32-317,32,,,3,,E6E6E6,58595B
33-317,33,,,3,,E6E6E6,58595B
34-313,34,,,3,,6E6E70,FFFFFF
34-317,34,,,3,,6E6E70,FFFFFF
35-313,35,,,3,,6E6E70,FFFFFF
35-317,35,,,3,,6E6E70,FFFFFF
37-317,37,,,3,,E6E6E6,58595B
38-313,38,,,3,,6E6E70,FFFFFF
38-317,38,,,3,,6E6E70,FFFFFF
39-313,39,,,3,,0056B8,FFFFFF
39-317,39,,,3,,0056B8,FFFFFF
40-313,40,,,3,,D74100,FFFFFF
40-317,40,,,3,,D74100,FFFFFF
42-313,42,,,3,,6E6E70,FFFFFF
42-317,42,,,3,,6E6E70,FFFFFF
44-313,44,,,3,,D74100,FFFFFF
44-317,44,,,3,,D74100,FFFFFF
45-313,45,,,3,,0056B8,FFFFFF
45-317,45,,,3,,0056B8,FFFFFF
46-313,46,,,3,,6E6E70,FFFFFF
46-317,46,,,3,,6E6E70,FFFFFF
47-313,47,,,3,,E6E6E6,58595B
47-317,47,,,3,,E6E6E6,58595B
48-313,48,,,3,,6E6E70,FFFFFF
48-317,48,,,3,,6E6E70,FFFFFF
49-313,49,,,3,,6E6E70,FFFFFF
49-317,49,,,3,,6E6E70,FFFFFF
50-313,50,,,3,,6E6E70,FFFFFF
50-317,50,,,3,,6E6E70,FFFFFF
51-313,51,,,3,,D74100,FFFFFF
51-317,51,,,3,,D74100,FFFFFF
53-313,53,,,3,,D74100,FFFFFF
53-317,53,,,3,,D74100,FFFFFF
54-313,54,,,3,,6E6E70,FFFFFF
54-317,54,,,3,,6E6E70,FFFFFF
55-313,55,,,3,,6E6E70,FFFFFF
55-317,55,,,3,,6E6E70,FFFFFF
56-313,56,,,3,,E6E6E6,58595B
56-317,56,,,3,,E6E6E6,58595B
57-313,57,,,3,,0056B8,FFFFFF
57-317,57,,,3,,0056B8,FFFFFF
58-313,58,,,3,,6E6E70,FFFFFF
58-317,58,,,3,,6E6E70,FFFFFF
61-313,61,,,3,,0056B8,FFFFFF
61-317,61,,,3,,0056B8,FFFFFF
62-313,62,,,3,,0056B8,FFFFFF
62-317,62,,,3,,0056B8,FFFFFF
63-313,63,,,3,,0056B8,FFFFFF
63-317,63,,,3,,0056B8,FFFFFF
64-313,64,,,3,,6E6E70,FFFFFF
64-317,64,,,3,,6E6E70,FFFFFF
66-313,66,,,3,,E6E6E6,58595B
66-317,66,,,3,,E6E6E6,58595B
73-313,73,,,3,,E6E6E6,58595B
73-317,73,,,3,,E6E6E6,58595B
74-313,74,,,3,,0056B8,FFFFFF
74-317,74,,,3,,0056B8,FFFFFF
75-313,75,,,3,,0056B8,FFFFFF
75-317,75,,,3,,0056B8,FFFFFF
80-313,80,,,3,,D74100,FFFFFF
80-317,80,,,3,,D74100,FFFFFF
81-313,81,,,3,,6E6E70,FFFFFF
81-317,81,,,3,,6E6E70,FFFFFF
82-313,82,,,3,,6E6E70,FFFFFF
82-317,82,,,3,,6E6E70,FFFFFF
83-313,83,,,3,,6E6E70,FFFFFF
83-317,83,,,3,,6E6E70,FFFFFF
84-317,84,,,3,,6E6E70,FFFFFF
85-313,85,,,3,,D74100,FFFFFF
85-317,85,,,3,,D74100,FFFFFF
86-313,86,,,3,,6E6E70,FFFFFF
86-317,86,,,3,,6E6E70,FFFFFF
87-313,87,,,3,,D74100,FFFFFF
87-317,87,,,3,,D74100,FFFFFF
88-313,88,,,3,,D74100,FFFFFF
88-317,88,,,3,,D74100,FFFFFF
89-313,89,,,3,,6E6E70,FFFFFF
89-317,89,,,3,,6E6E70,FFFFFF
90-313,90,,,3,,D74100,FFFFFF
90-317,90,,,3,,D74100,FFFFFF
92-313,92,,,3,,6E6E70,FFFFFF
92-317,92,,,3,,6E6E70,FFFFFF
93-313,93,,,3,,6E6E70,FFFFFF
93-317,93,,,3,,6E6E70,FFFFFF
96-313,96,,,3,,6E6E70,FFFFFF
96-317,96,,,3,,6E6E70,FFFFFF
97-313,97,,,3,,0056B8,FFFFFF
97-317,97,,,3,,0056B8,FFFFFF
98-313,98,,,3,,0056B8,FFFFFF
98-317,98,,,3,,0056B8,FFFFFF
99-313,99,,,3,,0056B8,FFFFFF
99-317,99,,,3,,0056B8,FFFFFF
104-313,Hurd,,,3,,,
