stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
AA010,8767,"SUSSEX / RIDEAU FALLS",,  45.439879, -75.695844,,,0
AA020,6859,"SUSSEX / RIDEAU FALLS",,  45.439581, -75.695695,,,0
AA030,7001,"SUSSEX / ALEXANDER",,  45.442868, -75.693564,,,0
AA035,8762,"ALEXANDER / THOMAS",,  45.442806, -75.692325,,,0
AA040,7000,"JOHN / SUSSEX",,  45.442562, -75.693505,,,0
AA050,7002,"ALEXANDER / CHARLES",,  45.442539, -75.691511,,,0
AA060,8766,"CRICHTON / CHARLES",,  45.442231, -75.691221,,,0
AA070,7003,"CRICHTON / UNION",,  45.441682, -75.689964,,,0
AA080,7005,"CRICHTON / UNION",,  45.441715, -75.689529,,,0
AA090,7004,"CRICHTON / VICTORIA",,  45.441148, -75.688271,,,0
AA100,7006,"CRICHTON / VICTORIA",,  45.441173, -75.687939,,,0
AA110,7007,"CRICHTON / KEEFER",,  45.440741, -75.686615,,,0
AA120,8763,"CRICHTON / KEEFER",,  45.440399, -75.685756,,,0
AA130,7008,"CRICHTON / DUFFERIN",,  45.439590, -75.682989,,,0
AA140,8765,"CRICHTON / THE MEWS",,  45.439650, -75.682643,,,0
AA150,7010,"CRICHTON / ELECTRIC",,  45.439091, -75.679954,,,0
AA160,7009,"CRICHTON / ELECTRIC",,  45.438893, -75.679880,,,0
AA170,8764,"CRICHTON / BEECHWOOD",,  45.438612, -75.678427,,,0
AA180,7011,"CRICHTON / BEECHWOOD",,  45.438766, -75.678514,,,0
AA210,8922,"BEECHWOOD / MACKAY",,  45.439490, -75.676929,,,0
AA221,8794,"BEECHWOOD / LOYER",,  45.440049, -75.675699,,,0
AA231,8795,"BEECHWOOD / ST CHARLES",,  45.441164, -75.673624,,,0
AA240,8790,"BEECHWOOD / ST CHARLES",,  45.441154, -75.674057,,,0
AA251,1649,"BEECHWOOD / MARIER",,  45.442197, -75.671357,,,0
AA260,7015,"BEECHWOOD / ACACIA",,  45.442329, -75.671433,,,0
AA270,7013,"BEECHWOOD / JOLLIET",,  45.444136, -75.670294,,,0
AA280,8797,"BEECHWOOD / CORONA",,  45.444071, -75.670537,,,0
AA300,7016,"BEECHWOOD / JULIANA",,  45.445864, -75.669501,,,0
AA310,8796,"BEECHWOOD / JULIANA",,  45.445897, -75.669181,,,0
AA320,7017,"HEMLOCK / LANSDOWNE",,  45.447638, -75.668453,,,0
AA325,7018,"HEMLOCK / WHITEMARL",,  45.448842, -75.665801,,,0
AA330,7019,"HEMLOCK / LANSDOWNE",,  45.447599, -75.668082,,,0
AA335,7020,"HEMLOCK / WHITEMARL",,  45.448774, -75.665035,,,0
AA340,8788,"SPRINGFIELD / BEECHWOOD",,  45.440053, -75.676328,,,0
AA350,7021,"SPRINGFIELD / PUTMAN",,  45.442010, -75.676826,,,0
AA360,7022,"SPRINGFIELD / RIDEAU",,  45.443679, -75.677190,,,0
AA370,7023,"SPRINGFIELD / LINDENLEA",,  45.444913, -75.677441,,,0
AA380,8789,"MAPLE LANE / SPRINGFIELD",,  45.446327, -75.677599,,,0
AA390,7024,"MAPLE LANE / ELMDALE",,  45.446550, -75.674886,,,0
AA400,7025,"MAPLE LANE / ACACIA",,  45.446709, -75.673132,,,0
AA410,7026,"ACACIA / RIDEAU",,  45.444571, -75.672435,,,0
AB050,2309,"LOYER / BARRETE",,  45.439698, -75.675071,,,0
AB055,1697,"BARETTE / ST-CHARLES",,  45.440390, -75.673444,,,0
AB060,1650,"MARIER / BEECHWOOD",,  45.441973, -75.671501,,,0
AB065,7263,"MARIER / BARRETTE",,  45.441915, -75.670965,,,0
AB070,7029,"MARIER / GENEST",,  45.441176, -75.669043,,,0
AB075,7264,"MARIER / GENEST",,  45.441055, -75.669086,,,0
AB080,7027,"MARIER / LONGPRE",,  45.439536, -75.664436,,,0
AB085,7028,"MARIER / LONGPRE",,  45.439419, -75.664644,,,0
AB100,8752,"DES PÈRES BLANCS / MARIER",,  45.440050, -75.665714,,,0
AB110,8995,"DES PÈRES BLANCS / MARIER",,  45.440173, -75.665367,,,0
AB120,7034,"DES PÈRES BLANCS / MARQUETTE",,  45.440860, -75.664577,,,0
