route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
301-313,APR20-301Shop-Weekday-01,70461688-APR20-301Shop-Weekday-01,"Bayshore / Carlingwood",0,8626848,3010034
301-313,APR20-301Shop-Weekday-01,70461692-APR20-301Shop-Weekday-01,"Richmond / Stittsville",1,8626848,3010035
302-313,APR20-302Shop-Weekday-01,70486693-APR20-302Shop-Weekday-01,"Orleans / St-Laurent",0,8628355,3020019
302-313,APR20-302Shop-Weekday-01,70486697-APR20-302Shop-Weekday-01,"Cumberland",1,8628355,3020020
303-313,APR20-303Shop-Weekday-01,70486686-APR20-303Shop-Weekday-01,"Bayshore / Carlingwood",0,8628354,3030032
303-313,APR20-303Shop-Weekday-01,70486687-APR20-303Shop-Weekday-01,"Dunrobin / Carp / Stittsville",1,8628354,3030033
304-313,APR20-304Shop-Weekday-01,70461682-APR20-304Shop-Weekday-01,"Billings Bridge / South Keys",0,8626847,3040015
304-313,APR20-304Shop-Weekday-01,70461686-APR20-304Shop-Weekday-01,"Greely / Metcalfe",1,8626847,3040018
305-313,APR20-305Shop-Weekday-01,70469218-APR20-305Shop-Weekday-01,"Carlingwood",0,8627127,3050017
305-313,APR20-305Shop-Weekday-01,70469222-APR20-305Shop-Weekday-01,"North Gower / Manotick",1,8627127,3050016
61-313,APR20-dAPRSP20-Weekday-25,72384076-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900038,613359
61-313,APR20-dAPRSP20-Weekday-25,72384077-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900073,613359
61-313,APR20-dAPRSP20-Weekday-25,72384078-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900487,613359
61-313,APR20-dAPRSP20-Weekday-25,72384079-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900039,613359
61-313,APR20-dAPRSP20-Weekday-25,72384080-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900038,613359
61-313,APR20-dAPRSP20-Weekday-25,72384081-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900073,613359
61-313,APR20-dAPRSP20-Weekday-25,72384082-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900487,613359
61-313,APR20-dAPRSP20-Weekday-25,72384083-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900039,613359
61-313,APR20-dAPRSP20-Weekday-25,72384084-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900038,613359
61-313,APR20-dAPRSP20-Weekday-25,72384085-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900073,613359
61-313,APR20-dAPRSP20-Weekday-25,72384086-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900487,613359
61-313,APR20-dAPRSP20-Weekday-25,72384087-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900039,613359
61-313,APR20-dAPRSP20-Weekday-25,72384088-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900038,613359
61-313,APR20-dAPRSP20-Weekday-25,72384089-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900073,613359
61-313,APR20-dAPRSP20-Weekday-25,72384090-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900060,613359
61-313,APR20-dAPRSP20-Weekday-25,72384091-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900039,613359
61-313,APR20-dAPRSP20-Weekday-25,72384092-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900063,613359
61-313,APR20-dAPRSP20-Weekday-25,72384093-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900062,613359
61-313,APR20-dAPRSP20-Weekday-25,72384094-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900060,613359
61-313,APR20-dAPRSP20-Weekday-25,72384095-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900039,613359
61-313,APR20-dAPRSP20-Weekday-25,72384096-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900062,613359
61-313,APR20-dAPRSP20-Weekday-25,72384097-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900060,613359
61-313,APR20-dAPRSP20-Weekday-25,72384098-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900063,613359
61-313,APR20-dAPRSP20-Weekday-25,72384099-APR20-dAPRSP20-Weekday-25,"Tunney's Pasture",0,8900490,613359
93-313,APR20-dAPRSP20-Weekday-25,72384100-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900095,930640
93-313,APR20-dAPRSP20-Weekday-25,72384101-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900089,930637
93-313,APR20-dAPRSP20-Weekday-25,72384102-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900079,930637
93-313,APR20-dAPRSP20-Weekday-25,72384103-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900043,930637
93-313,APR20-dAPRSP20-Weekday-25,72384104-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900136,930637
93-313,APR20-dAPRSP20-Weekday-25,72384105-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900409,930637
93-313,APR20-dAPRSP20-Weekday-25,72384106-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900095,930637
93-313,APR20-dAPRSP20-Weekday-25,72384107-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900069,930637
93-313,APR20-dAPRSP20-Weekday-25,72384108-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900384,930637
93-313,APR20-dAPRSP20-Weekday-25,72384109-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900058,930637
93-313,APR20-dAPRSP20-Weekday-25,72384110-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900120,930637
93-313,APR20-dAPRSP20-Weekday-25,72384111-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900117,930637
93-313,APR20-dAPRSP20-Weekday-25,72384112-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900378,930637
93-313,APR20-dAPRSP20-Weekday-25,72384113-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900161,930637
93-313,APR20-dAPRSP20-Weekday-25,72384114-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900384,930637
93-313,APR20-dAPRSP20-Weekday-25,72384115-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900058,930637
93-313,APR20-dAPRSP20-Weekday-25,72384116-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900120,930637
93-313,APR20-dAPRSP20-Weekday-25,72384117-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900117,930637
93-313,APR20-dAPRSP20-Weekday-25,72384118-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900378,930637
93-313,APR20-dAPRSP20-Weekday-25,72384119-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900161,930637
93-313,APR20-dAPRSP20-Weekday-25,72384120-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900042,930637
93-313,APR20-dAPRSP20-Weekday-25,72384121-APR20-dAPRSP20-Weekday-25,"Greenboro/Hurdman",1,8900058,930637
